GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Foyer,tn.esprit.spring.Schedular,test,0,7,0,0,0,2,0,2,0,2
Foyer,tn.esprit.spring.Schedular,Schedular,0,3,0,0,0,1,0,1,0,1
Foyer,tn.esprit.spring.Config,SpringDocConfig,0,166,0,0,0,45,0,11,0,11
Foyer,tn.esprit.spring.Services.Etudiant,EtudiantService,0,35,0,0,0,8,0,6,0,6
Foyer,tn.esprit.spring,FoyerApplication,5,3,0,0,2,1,1,1,1,1
Foyer,tn.esprit.spring.RestControllers,EtudiantRestController,0,30,0,0,0,8,0,6,0,6
Foyer,tn.esprit.spring.RestControllers,ReservationRestController,41,6,0,0,10,1,8,1,8,1
Foyer,tn.esprit.spring.AOP,FoyerAspect,29,7,0,0,9,2,3,2,3,2
Foyer,tn.esprit.spring.DAO.Entities,Etudiant.EtudiantBuilder,72,0,0,0,1,0,10,0,10,0
Foyer,tn.esprit.spring.DAO.Entities,Reservation.ReservationBuilder,45,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.DAO.Entities,Etudiant,71,19,0,0,8,4,13,4,13,4
Foyer,tn.esprit.spring.DAO.Entities,Reservation,60,0,0,0,9,0,11,0,11,0
Foyer,tn.esprit.spring.Services.Reservation,ReservationService,183,13,6,0,35,2,13,2,10,2
